,player,targets,rec,rec_yds,rec_td,rec_long,rec_air_yds,rec_yac,rec_drops
88,Breece Hall,31,19,218,1,132,147.2,171,5
89,Breshad Perriman,164,85,1422,11,778,2418.4,432,6
90,Brevin Jordan,43,25,205,3,125,259.4,123,2
91,Brian Hill,44,35,268,1,183,59.2,216,4
92,Brian Robinson Jr.,2,2,13,0,7,-8.0,21,0
93,Brock Wright,23,18,205,2,143,98.2,124,1
94,Bruce Miller,2,1,2,0,2,-3.0,3,1
95,Bryan Edwards,85,51,820,4,466,1066.3,295,2
96,Brycen Hopkins,5,5,56,0,25,28.2,28,0
97,Buddy Howell,2,1,3,0,3,19.0,7,1
98,Byron Pringle,123,87,1052,10,620,1215.3,365,8
99,C.J. Board,26,17,183,0,154,283.2,52,0
100,C.J. Goodwin,2,1,16,0,16,17.0,8,0
101,C.J. Ham,62,45,392,2,330,178.1,287,4
102,C.J. Prosise,17,15,94,1,69,43.1,92,0
103,C.J. Saunders,2,2,11,0,8,11.0,0,0
104,C.J. Uzomah,140,106,1034,9,545,639.4,592,7
105,Cade Otton,26,18,178,0,90,109.4,79,1
106,Calvin Ridley,288,184,2521,18,812,3821.4,504,12
107,Cam Akers,35,27,278,1,226,157.20000000000002,216,2
108,Cam Newton,2,2,35,1,35,17.0,18,0
109,Cam Sims,98,60,865,3,498,1149.5,338,2
110,Cameron Batson,19,15,121,2,97,168.2,46,0
111,Cameron Brate,194,125,1165,11,601,1463.3,355,7
112,Carlos Hyde,62,42,223,1,162,111.7,254,2
113,Cedrick Wilson Jr.,115,76,939,8,496,1205.0,418,6
114,CeeDee Lamb,309,196,2614,14,1063,3074.9,950,21
115,Cethan Carter,12,9,82,1,77,70.0,23,1
116,Chad Beebe,32,22,271,2,198,185.4,139,1
117,Chad Hansen,24,17,236,1,101,293.7,36,1
118,Chad Williams,1,0,0,0,0,15.0,0,0
119,Chandler Cox,2,2,9,0,9,2.0,7,0
120,Charles Clay,24,18,237,1,188,152.1,95,0
121,Charles Jones,1,1,5,0,5,3.0,2,0
122,Charlie Woerner,13,8,88,0,70,105.0,34,2
123,Chase Claypool,278,161,2128,14,1024,3273.2,740,12
124,Chase Edmonds,159,118,914,6,479,226.2,819,13
125,Chester Rogers,73,47,483,3,301,554.9,176,4
126,Chigoziem Okonkwo,8,5,52,1,37,71.9,10,1
127,Chris Carson,101,81,587,6,328,47.3,603,6
128,Chris Conley,192,109,1569,9,864,2284.9,558,14
129,Chris Evans,22,18,184,2,128,123.1,119,0
130,Chris Godwin,418,300,3876,22,1351,3703.4,1743,13
131,Chris Herndon,54,36,334,4,197,349.7,164,6
132,Chris Hogan,49,26,226,1,137,423.1,90,0
133,Chris Lacy,10,3,60,0,55,134.2,9,1
134,Chris Manhertz,22,17,148,1,145,101.0,83,1
135,Chris Moore,44,34,376,3,248,275.4,226,2
136,Chris Myarick,12,9,59,2,48,30.0,33,2
137,Chris Olave,63,37,547,2,225,960.3000000000001,89,2
138,Chris Thompson,81,62,524,1,238,165.1,444,2
139,Christian Blake,51,28,257,0,150,415.8,52,2
140,Christian Kirk,362,234,2861,18,1259,3912.1,880,14
141,Christian McCaffrey,256,213,1853,8,623,200.2,1778,9
142,Christian Watson,12,8,64,0,55,74.1,67,1
143,Christian Wilkins,2,2,2,2,2,1.0,1,0
144,Chuba Hubbard,41,28,185,1,125,11.700000000000001,179,7
145,Clive Walford,8,4,57,0,42,80.0,27,3
146,Clyde Edwards-Helaire,105,76,599,6,363,-9.800000000000004,644,6
147,Codey McElroy,2,1,30,0,30,41.0,0,0
148,Cody Core,5,3,28,0,11,32.0,3,0
149,Cody Davis,1,1,7,0,7,2.0,5,0
150,Cody Hollister,14,10,112,0,97,152.2,30,0
151,Cody Latimer,42,24,300,2,189,493.4,69,1
152,Cody White,6,5,33,0,17,38.0,14,1
153,Colby Parkinson,21,17,208,1,157,144.0,113,0
154,Cole Beasley,362,260,2723,11,927,2497.9,1131,16
155,Cole Kmet,161,105,1030,3,508,1140.4,466,8
156,Cole Turner,7,2,23,0,18,56.0,7,0
157,Colin Thompson,3,1,7,1,7,11.0,0,0
158,Collin Johnson,52,29,377,2,229,553.0,83,1
159,Connor Heyward,6,5,67,0,58,26.9,42,0
160,Conor McDermott,1,1,1,1,1,1.0,0,0
161,Cooper Kupp,584,432,5324,40,1799,4511.4,2466,21
162,Cordarrelle Patterson,118,88,791,5,458,395.0,595,3
163,Corey Clement,13,11,54,1,46,2.1999999999999993,49,2
164,Corey Davis,268,167,2496,14,1092,3344.7,741,13
165,Courtland Sutton,286,164,2388,9,1127,3743.7,590,14
166,Craig Reynolds,19,17,171,0,122,8.8,170,0
167,Cullen Gillaspia,1,1,6,0,6,-2.0,8,0
168,Curtis Samuel,272,178,1886,11,799,2607.1,689,16
169,Cyril Grayson,16,11,215,2,148,258.1,71,2
170,D'Andre Swift,152,121,913,6,477,50.99999999999999,982,12
171,D'Ernest Johnson,38,30,231,0,148,44.7,198,4
172,D'Onta Foreman,15,12,155,1,129,-4.9,151,1
173,D'Wayne Eskridge,28,15,112,1,74,288.2,75,0
174,D.J. Foster,1,1,7,0,7,4.0,3,0
175,D.J. Montgomery,6,3,36,0,14,39.0,15,0
176,D.J. Moore,481,279,3950,15,1549,5545.4,1307,24
177,D.K. Metcalf,441,268,3945,35,1701,5766.2,1158,26
178,DJ Chark,251,140,1966,16,863,3345.8,538,9
179,Da'Mari Scott,3,2,22,0,22,19.0,14,1
180,DaeSean Hamilton,96,51,590,3,297,1014.9,223,6
181,Dak Prescott,1,1,11,1,11,10.0,1,0
182,Dallas Goedert,289,205,2547,13,1027,2098.1,1287,13
183,Dalton Keene,5,3,16,0,16,44.0,1,0
184,Dalton Schultz,232,169,1721,12,637,1555.2,730,9
185,Dalvin Cook,201,157,1258,1,667,-307.0,1489,18
186,Dalyn Dawkins,1,0,0,0,0,2.0,0,1
187,Dameon Pierce,24,20,98,1,63,-1.0,119,1
188,Damien Harris,43,35,238,0,190,-2.8000000000000007,241,1
189,Damien Williams,72,53,381,4,226,101.3,385,2
190,Damiere Byrd,170,109,1434,5,812,1945.7,509,7
191,Damion Ratley,34,16,263,1,178,384.9,57,0
192,Damion Willis,16,9,82,0,43,170.1,25,3
193,Dan Arnold,117,79,1059,6,626,1114.2,454,4
